customer_id,full_name,date_of_birth,ssn_last4,kyc_status,risk_rating
CUST00001,Linda Martinez,2004-04-29,3814,VERIFIED,MEDIUM
CUST00002,Carlos Patel,12/09/1969,6065,VERIFIED,LOW
CUST00003,Robert Mensah,12/14/1968,8751,REVIEW,LOW
CUST00004,Carlos Nguyen,30-Aug-1959,9125,VERIFIED,LOW
CUST00005,Linda Johnson,07-Jan-1950,6572,VERIFIED,LOW
CUST00006,Olga Chen,12/06/1963,8179,PENDING,MEDIUM
CUST00007,David Jones,10/26/1957,9197,,LOW
CUST00008,Aisha Lopez,19970612,5930,VERIFIED,LOW
CUST00009,Fatima Williams,1990-09-18,1796,VERIFIED,LOW
CUST00010,Kwame Williams,19821116,6252,,MEDIUM
CUST00011,David Singh,1992-06-21,1876,REVIEW,HIGH
CUST00012,Maria Brown,09-Dec-1968,7123,VERIFIED,MEDIUM
CUST00013,David Kim,04/17/1945,8317,VERIFIED,LOW
CUST00014,Sun Mensah,04/29/2002,2504,VERIFIED,LOW
CUST00015,Sun Smith,23-May-1993,8005,VERIFIED,LOW
CUST00016,Elizabeth Davis,1977-07-26,3946,,LOW
CUST00017,Fatima Williams,09/07/1952,2103,REVIEW,MEDIUM
CUST00018,Jennifer Rodriguez,19940429,3470,,LOW
CUST00019,Wei Patel,19721219,8479,PENDING,LOW
CUST00020,Linda Williams,30-Mar-1967,0344,,HIGH
CUST00021,Olga Davis,1965-08-24,1163,REVIEW,LOW
CUST00022,Robert Johnson,16-Jul-1965,1160,,LOW
CUST00023,Fatima Miller,12/26/1969,9355,,MEDIUM
CUST00024,Fatima Khan,10/20/1966,1545,VERIFIED,MEDIUM
CUST00025,Aisha Khan,19761014,0887,REVIEW,LOW
CUST00026,Wei Chen,1950-06-10,4073,VERIFIED,LOW
CUST00027,Carlos Jones,19930211,3006,VERIFIED,MEDIUM
CUST00028,Robert Okafor,1967-05-31,0828,REVIEW,HIGH
CUST00029,Robert Davis,04/29/1946,6658,PENDING,MEDIUM
CUST00030,Wei Johnson,03/06/1964,6209,VERIFIED,MEDIUM
CUST00031,Carlos Martinez,19681017,9105,REVIEW,MEDIUM
CUST00032,Michael Martinez,11/21/1958,0958,,HIGH
CUST00033,Maria Johnson,1950-06-21,9571,PENDING,HIGH
CUST00034,Jennifer Johnson,1992-08-25,3044,VERIFIED,HIGH
CUST00035,Linda Nguyen,1951-02-05,9333,VERIFIED,HIGH
CUST00036,Mary Mensah,1998-05-04,6868,REVIEW,HIGH
CUST00037,Sun Chen,17-Sep-1995,3346,REVIEW,LOW
CUST00038,David Nguyen,06/01/1966,4915,PENDING,LOW
CUST00039,James Okafor,1951-07-06,1200,,LOW
CUST00040,David Jones,21-May-1990,1127,VERIFIED,LOW
CUST00041,Jennifer Okafor,27-Jul-1970,8666,VERIFIED,HIGH
CUST00042,Patricia Jones,11-Nov-1971,1891,VERIFIED,HIGH
CUST00043,David Martinez,12/12/1958,5617,VERIFIED,LOW
CUST00044,Fatima Rodriguez,1990-05-06,1512,REVIEW,MEDIUM
CUST00045,Mary Smith,28-Oct-1969,2143,REVIEW,LOW
CUST00046,Carlos Singh,19590701,9189,VERIFIED,LOW
CUST00047,John Singh,1951-10-02,6049,,HIGH
CUST00048,Aisha Jones,1958-04-15,5050,VERIFIED,LOW
CUST00049,Michael Davis,1977-02-06,5794,,MEDIUM
CUST00050,John Davis,09/06/2000,2900,PENDING,LOW
CUST00051,Maria Khan,02/03/1961,4371,VERIFIED,LOW
CUST00052,Mary Ivanov,04/28/1979,3269,PENDING,LOW
CUST00053,Linda Davis,1972-05-19,3164,PENDING,LOW
CUST00054,Robert Rodriguez,30-Dec-1969,8346,PENDING,HIGH
CUST00055,James Brown,17-Sep-1974,2925,,LOW
CUST00056,Patricia Mensah,19480607,5663,REVIEW,LOW
CUST00057,Kwame Kim,1984-02-25,6311,,LOW
CUST00058,Mary Khan,1967-11-08,8518,,LOW
CUST00059,Aisha Williams,04-Sep-1977,5143,REVIEW,LOW
CUST00060,Sun Martinez,19711211,5344,PENDING,LOW
CUST00061,John Miller,19940927,6211,REVIEW,LOW
CUST00062,Olga Martinez,20000322,8977,VERIFIED,LOW
CUST00063,Michael Khan,28-Sep-1970,7618,PENDING,MEDIUM
CUST00064,Sun Ivanov,03/04/1964,1389,VERIFIED,HIGH
CUST00065,Kwame Chen,2004-07-23,3848,REVIEW,LOW
CUST00066,Michael Jones,1965-02-26,0757,VERIFIED,MEDIUM
CUST00067,Robert Okafor,19991104,9431,VERIFIED,MEDIUM
CUST00068,Wei Davis,05/09/1989,0090,VERIFIED,MEDIUM
CUST00069,Jennifer Kim,19640819,0822,,LOW
CUST00070,Carlos Jones,19551121,8702,,HIGH
CUST00071,Carlos Mensah,19730620,8976,PENDING,LOW
CUST00072,Carlos Rodriguez,08/03/1987,4543,,MEDIUM
CUST00073,Linda Rodriguez,20010325,1269,REVIEW,LOW
CUST00074,David Chen,14-Jan-1966,8849,VERIFIED,LOW
CUST00075,Linda Nguyen,07/14/1958,3505,VERIFIED,MEDIUM
CUST00076,Maria Singh,19810727,6812,VERIFIED,LOW
CUST00077,Wei Lopez,1982-09-11,9432,PENDING,MEDIUM
CUST00078,Jose Martinez,19450713,6865,,HIGH
CUST00079,Linda Ivanov,02/14/1999,4471,PENDING,MEDIUM
CUST00080,Wei Chen,19470810,2704,PENDING,LOW
CUST00081,Ravi Smith,20001029,9697,,LOW
CUST00082,Aisha Jones,19520713,2977,VERIFIED,LOW
CUST00083,Maria Miller,19790105,5355,VERIFIED,MEDIUM
CUST00084,Aisha Rodriguez,1969-12-18,7705,VERIFIED,HIGH
CUST00085,Jose Davis,1949-09-03,0659,VERIFIED,LOW
CUST00086,James Mensah,11/20/1962,3908,VERIFIED,MEDIUM
CUST00087,Olga Miller,19550407,4198,VERIFIED,LOW
CUST00088,Kwame Brown,05/11/1999,5096,VERIFIED,HIGH
CUST00089,Elizabeth Lopez,19470422,6498,REVIEW,LOW
CUST00090,Olga Davis,1951-10-27,4941,REVIEW,HIGH
CUST00091,Olga Johnson,11-Nov-1955,8728,PENDING,LOW
CUST00092,Sun Chen,1951-03-10,6882,PENDING,LOW
CUST00093,Jose Okafor,11/23/1983,7135,VERIFIED,HIGH
CUST00094,David Mensah,20030511,7616,PENDING,HIGH
CUST00095,Maria Davis,1969-01-29,4569,PENDING,LOW
CUST00096,Olga Mensah,19860910,5511,VERIFIED,MEDIUM
CUST00097,Jennifer Ivanov,02/28/1974,5813,VERIFIED,LOW
CUST00098,Kwame Rodriguez,1970-02-02,8464,VERIFIED,LOW
CUST00099,Aisha Ivanov,08/27/1966,7800,REVIEW,MEDIUM
CUST00100,James Williams,17-Mar-1985,3630,PENDING,LOW
CUST00101,Olga Patel,19720621,9068,,LOW
CUST00102,Ravi Chen,05-Mar-1983,7434,VERIFIED,LOW
CUST00103,Linda Brown,07/22/1967,5169,VERIFIED,HIGH
CUST00104,Michael Miller,19610811,4530,REVIEW,HIGH
CUST00105,Kwame Martinez,1992-01-26,3180,VERIFIED,LOW
CUST00106,Jennifer Martinez,1977-05-18,8751,VERIFIED,LOW
CUST00107,Mary Singh,31-Jan-1949,2068,REVIEW,MEDIUM
CUST00108,James Lopez,16-Mar-1954,7690,PENDING,MEDIUM
CUST00109,Jennifer Johnson,27-Jul-1975,7827,VERIFIED,LOW
CUST00110,Fatima Williams,1980-12-13,2485,VERIFIED,HIGH
CUST00111,Robert Davis,1972-04-05,9143,PENDING,HIGH
CUST00112,Kwame Davis,19980625,7381,PENDING,LOW
